STT,Phase,Hạng mục,Công việc,PIC,Deadline,Loại yêu cầu,Tình trạng,Ghi chú,,,Phase,Số công việc,Tổng số ngày ước tính,Tiêu chí Pass (điều kiện mở phase/sprint kế tiếp)
121,Phase 1,Hardening + Pilot thật,"Viết ghi chú diễn giải kết quả pilot: nếu chạy tốt, kết luận đúng chỉ là ""vòng lặp content→approve→đăng hoạt động tốt với 1 client"" — KHÔNG phải ""hệ thống cần Hindsight/RAG mới hoạt động""",Cả 2,,Tài liệu,,,,,,,,
122,Phase 1,Hardening + Pilot thật,Tổng kết đạt tiêu chí Pass Phase 1 → quyết định mở Phase 2,Cả 2,,Quyết định,,,,,,,,
123,Phase 2,Vận hành pilot & tinh chỉnh,"Vận hành đăng tay liên tục hàng tuần cho Bardinh Coffee, theo dõi sát",,,Vận hành,,Automation chạy nền không người canh trực tiếp,,,,,,
124,Phase 2,Vận hành pilot & tinh chỉnh,Thu thập & tinh chỉnh prompt B02 (chọn pillar) dựa trên phản hồi thật,,,Logic Agent (AI),,,,,,,,
125,Phase 2,Vận hành pilot & tinh chỉnh,Thu thập & tinh chỉnh prompt B03 (lên kế hoạch),,,Logic Agent (AI),,,,,,,,
126,Phase 2,Vận hành pilot & tinh chỉnh,Thu thập & tinh chỉnh prompt D01 (viết caption),,,Logic Agent (AI),,,,,,,,
127,Phase 2,Vận hành pilot & tinh chỉnh,Thu thập & tinh chỉnh prompt D02 (làm ảnh),,,Logic Agent (AI),,,,,,,,
128,Phase 2,Vận hành pilot & tinh chỉnh,"Đánh giá lại ngưỡng đạt/không đạt của E01 (7.0/3.5) — có khớp đánh giá thật của con người không, điều chỉnh nếu cần",,,Logic Agent (AI),,KR3,,,,,,
129,Phase 2,Vận hành pilot & tinh chỉnh,Rà soát & mở rộng hệ thống tag ảnh trong thư viện nếu lọc tag không tìm đúng ảnh,,,Dữ liệu,,,,,,,,
130,Phase 2,Vận hành pilot & tinh chỉnh,Theo dõi & báo cáo: % chu kỳ chạy trơn tru không lỗi trong 4 tuần liên tục,,,Vận hành,,,,,,,,
131,Phase 2,Vận hành pilot & tinh chỉnh,Theo dõi & báo cáo: % bài được duyệt ngay lần đầu (mục tiêu ≥70%),,,Vận hành,,,,,,,,
132,Phase 2,Vận hành pilot & tinh chỉnh,Theo dõi & báo cáo: thời gian từ tạo nội dung đến khi được duyệt (mục tiêu ≤4 giờ),,,Vận hành,,,,,,,,
133,Phase 2,Vận hành pilot & tinh chỉnh,"Bắt đầu nộp hồ sơ Meta Business Verification (xác minh doanh nghiệp) — chạy song song, không chặn Phase 2",,,Tích hợp bên thứ 3,,,,,,,,
134,Phase 2,Vận hành pilot & tinh chỉnh,Bắt đầu nộp hồ sơ Meta App Review (xin quyền đăng bài tự động) — chạy song song,,,Tích hợp bên thứ 3,,,,,,,,
135,Phase 2,Vận hành pilot & tinh chỉnh,"Đo thời gian đăng tay thực tế mỗi tuần, tính xem có phải nút thắt cổ chai thật theo công thức đã định",,,Vận hành,,,,,,,,
136,Phase 2,Vận hành pilot & tinh chỉnh,Ra quyết định nhánh rẽ: nếu đăng tay là bottleneck thật → ưu tiên Phase 3; nếu chưa → ưu tiên Phase 6 trước,,,Quyết định,,,,,,,,
137,Phase 3,Tự động đăng bài (Meta),"Xây dựng luồng kết nối tài khoản Meta (OAuth Connect) — bấm kết nối, xin đúng quyền cần thiết",,,Tích hợp bên thứ 3,,,,,,,,
138,Phase 3,Tự động đăng bài (Meta),"Lưu trữ token kết nối an toàn (mã hoá), cơ chế tự làm mới trước khi hết hạn",,,Tích hợp bên thứ 3,,,,,,,,
139,Phase 3,Tự động đăng bài (Meta),"Xây dựng cơ chế phát hiện khi bị thu hồi quyền kết nối, báo ngay Agency Admin",,,Tích hợp bên thứ 3,,,,,,,,
140,Phase 3,Tự động đăng bài (Meta),"[F01] Xây agent tự động đăng bài đã duyệt đúng giờ đã lên lịch, cho cả Facebook và Instagram (2 việc riêng, lỗi 1 cái không huỷ cái kia)",,,Logic Agent (AI),,,,,,,,
141,Phase 3,Tự động đăng bài (Meta),Xử lý hashtag đặt ở comment đầu tiên (nếu khách hàng chọn kiểu này),,,Logic Agent (AI),,,,,,,,
142,Phase 3,Tự động đăng bài (Meta),"Xử lý khi đổi giờ đăng: huỷ lịch cũ, tạo lịch mới đúng giờ",,,Logic Agent (AI),,,,,,,,
143,Phase 3,Tự động đăng bài (Meta),"Xây dựng xử lý lỗi khi đăng thất bại (hết hạn token, trang bị khoá, vi phạm chính sách) — thử lại theo giãn cách, báo Agency Admin nếu vẫn lỗi",,,Logic Agent (AI),,Đạt KR1 gốc,,,,,,
144,Phase 3,Tự động đăng bài (Meta),"Bỏ nút ""Đánh dấu đã đăng"" thủ công, thay bằng trạng thái tự động ""đã đăng"" (publishing → published)",,,Giao diện - Portal,,,,,,,,
145,Phase 3,Tự động đăng bài (Meta),"Thêm lại trạng thái ""đang đăng"" (publishing) vào FSM + workflow_cycles",,,Dữ liệu,,,,,,,,
146,Phase 3,Tự động đăng bài (Meta),Xây dựng Hàng đợi lỗi thật (Dead Letter Queue) cho giai đoạn chạy tự động không người canh,,,Hạ tầng,,,,,,,,
147,Phase 3,Tự động đăng bài (Meta),"Xây màn hình Internal App: xem trạng thái kết nối Meta từng khách hàng, làm mới token thủ công",,,Giao diện - Internal App,,,,,,,,
148,Phase 3,Tự động đăng bài (Meta),Xây màn hình Internal App: xem & xử lý lại lỗi trong hàng đợi (chạy lại / đóng lỗi kèm ghi chú),,,Giao diện - Internal App,,,,,,,,
149,Phase 3,Tự động đăng bài (Meta),Gửi xác nhận cho chủ quán sau khi đăng thành công: link bài viết thật + ảnh đã dùng,,,Tích hợp bên thứ 3,,,,,,,,
150,Phase 3,Tự động đăng bài (Meta),"Theo dõi giới hạn tần suất gọi API Meta, ưu tiên việc đăng bài hơn lấy số liệu khi gần chạm giới hạn",,,Tích hợp bên thứ 3,,,,,,,,
151,Phase 3,Tự động đăng bài (Meta),Đo & xác nhận: luồng kết nối Meta hoàn thành ≤5 phút,,,Kiểm thử,,,,,,,,
152,Phase 3,Tự động đăng bài (Meta),Đo & xác nhận: tỷ lệ đăng bài thành công không cần can thiệp tay đạt mục tiêu,,,Kiểm thử,,,,,,,,
153,Phase 4,Phân tích số liệu & học hỏi,"[G01] Xây agent thu thập số liệu Meta cho bài đã đăng được 7 ngày (reach, thích, bình luận, chia sẻ, lưu, xem video...)",,,Logic Agent (AI),,,,,,,,
154,Phase 4,Phân tích số liệu & học hỏi,"[G01] Xử lý trường hợp không lấy được số liệu do giới hạn quyền — ghi ""không có dữ liệu"" thay vì đoán bằng 0",,,Logic Agent (AI),,,,,,,,
155,Phase 4,Phân tích số liệu & học hỏi,[G01] Tự tính chỉ số tương tác (engagement rate) theo công thức chuẩn thống nhất,,,Logic Agent (AI),,,,,,,,
156,Phase 4,Phân tích số liệu & học hỏi,"[G02] Xây agent phân tích mô tả: so sánh theo platform, loại nội dung, pillar, khung giờ, kiểu mở đầu",,,Logic Agent (AI),,,,,,,,
157,Phase 4,Phân tích số liệu & học hỏi,"[G03] Xây agent phân tích chẩn đoán: so tuần này với 4-8 tuần trước, tìm nguyên nhân tăng/giảm, phát hiện bài bất thường",,,Logic Agent (AI),,,,,,,,
158,Phase 4,Phân tích số liệu & học hỏi,"[G04] Xây agent đưa đề xuất cụ thể cho tuần sau (loại nội dung, giờ đăng, ảnh cần chụp thêm)",,,Logic Agent (AI),,,,,,,,
159,Phase 4,Phân tích số liệu & học hỏi,[G04] Tạo báo cáo dễ hiểu cho chủ quán (không thuật ngữ kỹ thuật) + gói dữ liệu học máy nội bộ,,,Logic Agent (AI),,,,,,,,
160,Phase 4,Phân tích số liệu & học hỏi,"Xây dựng Cổng ""Xác nhận đã đọc báo cáo"": chủ quán xác nhận/góp ý/hỏi lại",,,Quy trình duyệt,,,,,,,,
161,Phase 4,Phân tích số liệu & học hỏi,"Xây dựng luồng ""hỏi lại"" báo cáo — tạo thread bình luận, Agency Admin trả lời, không tạo chu kỳ mới",,,Quy trình duyệt,,,,,,,,
162,Phase 4,Phân tích số liệu & học hỏi,"[P01 - bản đầy đủ] Xây pipeline học từ phản hồi: đọc mọi chỉnh sửa/từ chối + báo cáo phân tích, chuyển thành bài học cụ thể, ghi ngược vào trí nhớ đúng agent",,,Logic Agent (AI),,,,,,,,
163,Phase 4,Phân tích số liệu & học hỏi,"Nâng cấp bảng trí nhớ để lưu thêm ""mẫu hình hiệu quả"" (performance pattern) theo pillar/giờ/loại nội dung",,,Dữ liệu,,Validate trước khi đa dạng hoá ngành,,,,,,
164,Phase 4,Phân tích số liệu & học hỏi,Xây trang Portal hiển thị báo cáo phân tích dạng đọc được (không phải số liệu thô),,,Giao diện - Portal,,,,,,,,
165,Phase 4,Phân tích số liệu & học hỏi,Theo dõi chi phí AI phát sinh riêng cho việc phân tích định kỳ,,,Vận hành,,,,,,,,
166,Phase 4,Phân tích số liệu & học hỏi,Đo & xác nhận: vòng lặp đầy đủ tạo→duyệt→đăng→phân tích→học chạy liên tục không cần thao tác tay ngoài duyệt bài,,,Kiểm thử,,,,,,,,
167,Phase 4,Phân tích số liệu & học hỏi,Đo & xác nhận: đề xuất của G04 có cải thiện chất lượng nội dung chu kỳ sau không (so % duyệt-ngay-lần-đầu trước/sau),,,Kiểm thử,,,,,,,,
168,Phase 5,Chiến lược đầy đủ (B01 + RAG),[B01] Xây agent tạo kế hoạch truyền thông tổng thể (IMC Plan) khi có chiến dịch/sự kiện,,,Logic Agent (AI),,,,,,,,
169,Phase 5,Chiến lược đầy đủ (B01 + RAG),"[B01] Đảm bảo kế hoạch gồm đủ 7 phần chuẩn ngành (bối cảnh, mục tiêu, đối tượng & insight, ý tưởng lớn, kế hoạch theo giai đoạn, ngân sách, chỉ số đo lường)",,,Logic Agent (AI),,,,,,,,
170,Phase 5,Chiến lược đầy đủ (B01 + RAG),"Xây dựng Cổng duyệt S1 — IMC Plan: đọc, sửa trực tiếp trên văn bản, bôi đậm, bình luận từng đoạn, duyệt",,,Quy trình duyệt,,,,,,,,
171,Phase 5,Chiến lược đầy đủ (B01 + RAG),"Xây dựng trang quản lý Chiến dịch/Sự kiện: tạo mới, xem danh sách, kết thúc sớm",,,Giao diện - Portal,,,,,,,,
172,Phase 5,Chiến lược đầy đủ (B01 + RAG),"Khi có chiến dịch → B02 đọc IMC Plan để sáng tạo pillar bám sát chiến dịch (thêm nhánh Mode A, ngoài Mode B mặc định)",,,Logic Agent (AI),,,,,,,,
173,Phase 5,Chiến lược đầy đủ (B01 + RAG),Khôi phục kho tài liệu thương hiệu dài: upload PDF/Word/PowerPoint + tự động trích xuất nội dung (Docling+Chonkie),,,Dữ liệu,,,,,,,,
174,Phase 5,Chiến lược đầy đủ (B01 + RAG),"Xây dựng tìm kiếm ngữ nghĩa thật cho thư viện thương hiệu (ChromaDB, thay form ngắn hiện tại)",,,Dữ liệu,,,,,,,,
175,Phase 5,Chiến lược đầy đủ (B01 + RAG),Nâng cấp tìm ảnh trong thư viện từ lọc theo tag sang tìm theo ngữ nghĩa (khi thư viện đã lớn),,,Dữ liệu,,,,,,,,
176,Phase 5,Chiến lược đầy đủ (B01 + RAG),Xây dựng trình soạn thảo chiến lược (Strategy Co-pilot Editor) đầy đủ cho cả 3 cổng duyệt S1/S2/S3,,,Giao diện - Portal,,,,,,,,
177,Phase 5,Chiến lược đầy đủ (B01 + RAG),"Xây dựng chức năng khách hàng tự giao việc trực tiếp cho từng agent (Direct Assign, bỏ qua A01), vẫn phải qua Evaluator",,,Logic Agent (AI),,,,,,,,
178,Phase 5,Chiến lược đầy đủ (B01 + RAG),Cân nhắc & quyết định: có build lại giao diện Portal theo hướng Pixel Office/Kanban/Content Hub (PRD v1.2 Tầng 4) ở Phase này hay chưa,,,Quyết định,,,,,,,,
179,Phase 5,Chiến lược đầy đủ (B01 + RAG),"Đo & xác nhận: B01 tạo IMC Plan đúng thương hiệu, qua cổng duyệt S1 không cần sửa nhiều",,,Kiểm thử,,,,,,,,
180,Phase 5,Chiến lược đầy đủ (B01 + RAG),Đo & xác nhận: tìm kiếm ngữ nghĩa trả kết quả đúng ngữ cảnh khi test với tài liệu dài thật,,,Kiểm thử,,,,,,,,
181,Phase 6,Mở rộng nhiều khách hàng,"Xây màn hình quản lý nhà cung cấp AI & API key theo từng khách hàng (bật/tắt provider, nhập & test key)",,,Giao diện - Internal App,,,,,,,,
182,Phase 6,Mở rộng nhiều khách hàng,"Xây Dashboard theo dõi chi phí AI & ngân sách theo từng khách hàng, từng agent",,,Giao diện - Internal App,,,,,,,,
183,Phase 6,Mở rộng nhiều khách hàng,"Xây dựng kết nối Telegram Bot: ghép cặp tài khoản, nhận thông báo, gửi ảnh trực tiếp qua chat",,,Tích hợp bên thứ 3,,,,,,,,
184,Phase 6,Mở rộng nhiều khách hàng,Cải thiện luồng Onboarding khách hàng mới — rút ngắn thời gian setup khi có nhiều khách hàng cùng lúc,,,Giao diện - Internal App,,,,,,,,
185,Phase 6,Mở rộng nhiều khách hàng,Xây dựng Trung tâm thông báo đầy đủ kênh (Portal + Telegram),,,Giao diện - Portal,,,,,,,,
186,Phase 6,Mở rộng nhiều khách hàng,Đảm bảo hàng đợi lỗi (DLQ) chịu tải tốt khi nhiều khách hàng chạy song song,,,Hạ tầng,,,,,,,,
187,Phase 6,Mở rộng nhiều khách hàng,Onboard thêm 2-5 khách hàng SME F&B cùng ngành,,,Vận hành,,,,,,,,
188,Phase 6,Mở rộng nhiều khách hàng,Theo dõi ngưỡng hạ tầng: Supabase free tier và ChromaDB local chịu tải bao nhiêu khách hàng,,,Vận hành,,,,,,,,
189,Phase 6,Mở rộng nhiều khách hàng,Đo & xác nhận: chạy ổn định 3-5 khách hàng song song mà không cần thêm người vận hành,,,Kiểm thử,,,,,,,,
190,Phase 6,Mở rộng nhiều khách hàng,Đo & xác nhận: chi phí vận hành thêm 1 khách hàng mới ở mức thấp,,,Kiểm thử,,,,,,,,
191,Phase 7,Đa dạng ngành & nâng cấp trí nhớ,Đánh giá nhu cầu nâng cấp bảng trí nhớ đơn giản lên hệ thống trí nhớ thông minh hơn (Hindsight) nếu dữ liệu đã đủ lớn,,,Quyết định,,,,,,,,
192,Phase 7,Đa dạng ngành & nâng cấp trí nhớ,"Nếu nâng cấp: xây sidecar trí nhớ mới, di chuyển dữ liệu, đảm bảo cách ly dữ liệu từng khách hàng",,,Hạ tầng,,,,,,,,
193,Phase 7,Đa dạng ngành & nâng cấp trí nhớ,Nghiên cứu mở rộng sang ngành SME dịch vụ khác ngoài F&B,,,Vận hành,,,,,,,,
194,Phase 7,Đa dạng ngành & nâng cấp trí nhớ,Điều chỉnh quy trình vận hành khi số khách hàng tăng đáng kể (chuẩn hoá hơn thay vì 2 người tự làm hết),,,Vận hành,,,,,,,,
